"AHash","Count","Splits","Classes","Files"
"1111111111000011100000011000000010011000100000001000000011000001","2","test|valid","black_spot","test\black_spot\local_DataSet_Image_000142_Black_spot(568).jpg || valid\black_spot\local_DataSet_Image_000094_Black_spot(1162).jpg"
"0001110000111110011101011011111010111111000111110001111100000010","2","test|valid","black_spot","test\black_spot\local_DataSet_Image_000160_Black_spot(550).jpg || valid\black_spot\local_DataSet_Image_000170_Black_spot(56).jpg"
"1111111111100001110000001000000010000000100000001000000011000001","5","test|train|valid","black_spot|canker","test\black_spot\local_DataSet_Image_000163_Black_spot(780).jpg || test\canker\local_DataSet_Image_000205_Canker(889).jpg || train\black_spot\local_DataSet_Image_000800_Black_spot(709).jpg || train\canker\local_DataSet_Image_001553_Canker(1181).jpg || valid\black_spot\local_DataSet_Image_000041_Black_spot(738).jpg"
"1111111111100011110000001000000010010000100000001000000011000001","2","test|valid","black_spot|canker","test\black_spot\local_DataSet_Image_000166_Black_spot(1075).jpg || valid\canker\local_DataSet_Image_000268_Canker(864).jpg"
"1111111111000000100000001000000010010000100000001100000011100001","2","test|train","canker|black_spot","test\canker\local_DataSet_Image_000189_Canker(698).jpg || train\black_spot\local_DataSet_Image_000127_Black_spot(2).jpg"
"1111111111000001100000001000000010010000100000001100000111100011","5","test|train|valid","canker|black_spot","test\canker\local_DataSet_Image_000192_Canker(706).jpg || train\black_spot\local_DataSet_Image_000047_Black_spot(1043).jpg || train\black_spot\local_DataSet_Image_000048_Black_spot(112).jpg || train\black_spot\local_DataSet_Image_000590_Black_spot(909).jpg || valid\black_spot\local_DataSet_Image_000075_Black_spot(1006).jpg"
"1111111111000001100000001000000010000000100000001000000011000001","7","test|train|valid","canker|black_spot|healthy","test\canker\local_DataSet_Image_000195_Canker(858).jpg || test\canker\local_DataSet_Image_000349_Canker(595).jpg || train\black_spot\aug_000252_local_DataSet_Image_000408_Black_spot(770).jpg || train\black_spot\local_DataSet_Image_000809_Black_spot(1100).jpg || train\healthy\01033_saltandpepper_Screen_Shot_2018-06-12_at_11.50.19_PM.jpg || train\healthy\01239_Screen_Shot_2018-06-12_at_11.50.19_PM.jpg || valid\healthy\01651_vertical_flip_Screen_Shot_2018-06-12_at_11.50.19_PM.jpg"
"1111111111000011100000011000000010000100100000001000000011000001","4","test|train","canker|black_spot","test\canker\local_DataSet_Image_000238_Canker(1033).jpg || train\black_spot\local_DataSet_Image_000175_Black_spot(849).jpg || train\black_spot\local_DataSet_Image_000176_Black_spot(92).jpg || train\canker\local_DataSet_Image_001455_Canker(1156).jpg"
"1111111111100000110000001000000010010000100100001000000111000011","2","test|train","canker|black_spot","test\canker\local_DataSet_Image_000248_Canker(871).jpg || train\black_spot\local_DataSet_Image_000428_Black_spot(1022).jpg"
"1111111111000011100000001000000010010000100000001000000011000001","5","test|train|valid","canker|black_spot","test\canker\local_DataSet_Image_000287_Canker(844).jpg || train\canker\local_DataSet_Image_001004_Canker(1035).jpg || train\canker\local_DataSet_Image_001005_Canker(862).jpg || train\canker\local_DataSet_Image_001014_Canker(236).jpg || valid\black_spot\local_DataSet_Image_000107_Black_spot(740).jpg"
"0111111101000011000000011000000010000100100011001100000111000001","2","test|train","canker","test\canker\local_DataSet_Image_000297_Canker(773).jpg || train\canker\aug_000130_local_DataSet_Image_001103_Canker(490).jpg"
"1111111111000011100000001000000010000000100000001100000011100001","2","test|train","canker|black_spot","test\canker\local_DataSet_Image_000329_Canker(852).jpg || train\black_spot\local_DataSet_Image_000748_Black_spot(729).jpg"
"1111111111000011100000010000100000000100100000001000000011100001","3","test|train","canker","test\canker\local_DataSet_Image_000344_Canker(873).jpg || train\canker\local_DataSet_Image_001172_Canker(1070).jpg || train\canker\local_DataSet_Image_001173_Canker(1249).jpg"
"0000000000000000000111100011111100111111001111110001111000000000","6","test|train","greening","test\greening\local_DataSet_Image_000374_Greening(286).jpg || test\greening\local_DataSet_Image_000416_Greening(88).jpg || train\greening\aug_000522_local_DataSet_Image_001834_Greening(231).jpg || train\greening\aug_000652_local_DataSet_Image_001878_Greening(255).jpg || train\greening\aug_001118_local_DataSet_Image_001932_Greening(182).jpg || train\greening\local_DataSet_Image_001770_Greening(313).jpg"
"0000000000001100001111100111111101111111011111110011111000011100","2","test|train","greening","test\greening\local_DataSet_Image_000375_Greening(320).jpg || train\greening\aug_001091_local_DataSet_Image_001912_Greening(317).jpg"
"0000000000111100011111100111111101111111011111110111111000111100","2","test|valid","greening","test\greening\local_DataSet_Image_000376_Greening(14).jpg || valid\greening\local_DataSet_Image_000414_Greening(274).jpg"
"0000000000011100001111100111111101111111011111110011111000011100","5","test|train","greening","test\greening\local_DataSet_Image_000381_Greening(276).jpg || test\greening\local_DataSet_Image_000411_Greening(119).jpg || train\greening\aug_000084_local_DataSet_Image_001817_Greening(79).jpg || train\greening\aug_000894_local_DataSet_Image_001849_Greening(30).jpg || train\greening\local_DataSet_Image_001803_Greening(257).jpg"
"0000000000000000001111000111111001111110011111100011111000011100","4","test|train","greening","test\greening\local_DataSet_Image_000384_Greening(323).jpg || train\greening\local_DataSet_Image_001874_Greening(142).jpg || train\greening\local_DataSet_Image_001892_Greening(10).jpg || train\greening\local_DataSet_Image_001931_Greening(17).jpg"
"0000000000001000001111000011111000111110001111100001110000000000","2","test|train","greening","test\greening\local_DataSet_Image_000385_Greening(336).jpg || train\greening\aug_001158_local_DataSet_Image_001939_Greening(55).jpg"
"0000000000001000001111100011111000111110001111100001110000000000","8","test|train","greening","test\greening\local_DataSet_Image_000388_Greening(339).jpg || train\greening\aug_000059_local_DataSet_Image_001904_Greening(218).jpg || train\greening\aug_000184_local_DataSet_Image_001859_Greening(324).jpg || train\greening\aug_000480_local_DataSet_Image_001859_Greening(324).jpg || train\greening\aug_000654_local_DataSet_Image_001859_Greening(324).jpg || train\greening\aug_001199_local_DataSet_Image_001792_Greening(207).jpg || train\greening\local_DataSet_Image_001859_Greening(324).jpg || train\greening\local_DataSet_Image_001876_Greening(219).jpg"
"0000000000000000000111000011111000111110001111100011110000000000","7","test|train","greening","test\greening\local_DataSet_Image_000391_Greening(334).jpg || train\greening\aug_000557_local_DataSet_Image_001951_Greening(272).jpg || train\greening\aug_001098_local_DataSet_Image_001921_Greening(128).jpg || train\greening\local_DataSet_Image_001765_Greening(169).jpg || train\greening\local_DataSet_Image_001842_Greening(36).jpg || train\greening\local_DataSet_Image_001868_Greening(251).jpg || train\greening\local_DataSet_Image_001963_Greening(22).jpg"
"0000000000011000001111000111111001111110011111100011110000000000","4","test|train","greening","test\greening\local_DataSet_Image_000396_Greening(342).jpg || train\greening\aug_000327_local_DataSet_Image_001918_Greening(208).jpg || train\greening\aug_000629_local_DataSet_Image_001918_Greening(208).jpg || train\greening\aug_000691_local_DataSet_Image_001918_Greening(208).jpg"
"0000000000000000000111000011111000111110001111100001110000000000","30","test|train","greening","test\greening\local_DataSet_Image_000397_Greening(129).jpg || test\greening\local_DataSet_Image_000400_Greening(223).jpg || test\greening\local_DataSet_Image_000405_Greening(68).jpg || test\greening\local_DataSet_Image_000425_Greening(211).jpg || train\greening\aug_000022_local_DataSet_Image_001991_Greening(141).jpg || train\greening\aug_000051_local_DataSet_Image_001816_Greening(301).jpg || train\greening\aug_000196_local_DataSet_Image_001991_Greening(141).jpg || train\greening\aug_000227_local_DataSet_Image_001816_Greening(301).jpg"
"0000000000000000001111100011111000111110001111100001110000000000","6","test|train","greening","test\greening\local_DataSet_Image_000398_Greening(244).jpg || train\greening\aug_000017_local_DataSet_Image_001765_Greening(169).jpg || train\greening\aug_000324_local_DataSet_Image_001745_Greening(253).jpg || train\greening\aug_001150_local_DataSet_Image_001956_Greening(47).jpg || train\greening\aug_001161_local_DataSet_Image_001895_Greening(309).jpg || train\greening\local_DataSet_Image_001792_Greening(207).jpg"
"0000000000000000000111100011111000111111001111110011111000011110","2","test|valid","greening","test\greening\local_DataSet_Image_000402_Greening(178).jpg || valid\greening\local_DataSet_Image_000404_Greening(221).jpg"
"0000000000000000000011000001111000111110001111100001110000000000","4","test|train","greening","test\greening\local_DataSet_Image_000406_Greening(83).jpg || train\greening\aug_000769_local_DataSet_Image_001750_Greening(328).jpg || train\greening\aug_000836_local_DataSet_Image_001916_Greening(137).jpg || train\greening\local_DataSet_Image_001987_Greening(305).jpg"
"0000000000000000000111000011111000111110001111100011111000011000","3","test|train","greening","test\greening\local_DataSet_Image_000408_Greening(39).jpg || train\greening\aug_000852_local_DataSet_Image_001797_Greening(312).jpg || train\greening\aug_001133_local_DataSet_Image_001797_Greening(312).jpg"
"0000000000000000000110000011110000111100001111000001110000000000","4","test|train","greening","test\greening\local_DataSet_Image_000410_Greening(273).jpg || train\greening\aug_000186_local_DataSet_Image_001927_Greening(23).jpg || train\greening\aug_000428_local_DataSet_Image_001810_Greening(171).jpg || train\greening\local_DataSet_Image_001927_Greening(23).jpg"
"0000000000011100001111100011111100111111001111110001111000000000","6","test|train","greening","test\greening\local_DataSet_Image_000418_Greening(20).jpg || train\greening\aug_000060_local_DataSet_Image_001898_Greening(177).jpg || train\greening\aug_000650_local_DataSet_Image_001840_Greening(43).jpg || train\greening\aug_000782_local_DataSet_Image_001887_Greening(106).jpg || train\greening\aug_000961_local_DataSet_Image_001903_Greening(202).jpg || train\greening\local_DataSet_Image_001806_Greening(184).jpg"
"0000000000000000000111100011111100111111001111110011111000011100","4","test|train|valid","greening","test\greening\local_DataSet_Image_000426_Greening(11).jpg || train\greening\aug_001243_local_DataSet_Image_001874_Greening(142).jpg || train\greening\local_DataSet_Image_001917_Greening(96).jpg || valid\greening\local_DataSet_Image_000381_Greening(322).jpg"
"1111111111000001100000001000000010000000100000001100000111100011","4","test|train|valid","healthy|black_spot|canker","test\healthy\01670_vertical_flip_Screen_Shot_2018-06-12_at_11.52.55_PM.jpg || train\black_spot\local_DataSet_Image_000768_Black_spot(969).jpg || train\canker\local_DataSet_Image_001259_Canker(664).jpg || valid\canker\local_DataSet_Image_000266_Canker(625).jpg"
"1111111111100011110000011100000111000001110000011100000111100011","3","test|train","healthy","test\healthy\01680_vertical_flip_Screen_Shot_2018-06-12_at_11.54.27_PM.jpg || train\healthy\01062_saltandpepper_Screen_Shot_2018-06-12_at_11.54.27_PM.jpg || train\healthy\01268_Screen_Shot_2018-06-12_at_11.54.27_PM.jpg"
"1111111111100011110000011100000111000001110000011110001111100011","3","test|train","healthy","test\healthy\01683_vertical_flip_Screen_Shot_2018-06-12_at_11.54.55_PM.jpg || train\healthy\01065_saltandpepper_Screen_Shot_2018-06-12_at_11.54.55_PM.jpg || train\healthy\01271_Screen_Shot_2018-06-12_at_11.54.55_PM.jpg"
"1001001001111111110011110000010110000010000000000001000010000000","11","test|train","scab|greening","test\scab\local_DataSet_Image_000427_Scab(107).jpg || test\scab\local_DataSet_Image_000428_Scab(12).jpg || test\scab\local_DataSet_Image_000429_Scab(123).jpg || test\scab\local_DataSet_Image_000430_Scab(140).jpg || test\scab\local_DataSet_Image_000431_Scab(16).jpg || test\scab\local_DataSet_Image_000432_Scab(36).jpg || test\scab\local_DataSet_Image_000433_Scab(53).jpg || test\scab\local_DataSet_Image_000434_Scab(57).jpg"
"1111111111000001110100001001000010000000100000001000000010000000","10","test","scab","test\scab\local_DataSet_Image_000437_Scab(1).jpg || test\scab\local_DataSet_Image_000438_Scab(108).jpg || test\scab\local_DataSet_Image_000439_Scab(124).jpg || test\scab\local_DataSet_Image_000440_Scab(141).jpg || test\scab\local_DataSet_Image_000441_Scab(37).jpg || test\scab\local_DataSet_Image_000442_Scab(58).jpg || test\scab\local_DataSet_Image_000443_Scab(62).jpg || test\scab\local_DataSet_Image_000444_Scab(75).jpg"
"1111111111100001111110101001011010010000100000001000000011000001","2","test|train","scab","test\scab\local_DataSet_Image_000447_Scab(89).jpg || train\scab\local_DataSet_Image_002099_Scab(72).jpg"
"1111111111000001100000001000000010011000100110001100000011100001","2","train","black_spot","train\black_spot\aug_000042_local_DataSet_Image_000348_Black_spot(111).jpg || train\black_spot\aug_000399_local_DataSet_Image_000040_Black_spot(346).jpg"
"0001110000001110010111111001111110001111100011110100011100100010","2","train","black_spot","train\black_spot\aug_000091_local_DataSet_Image_000214_Black_spot(58).jpg || train\black_spot\local_DataSet_Image_000214_Black_spot(58).jpg"
"1111111111100011110000011000100010001000100000001000000011000000","3","train","black_spot","train\black_spot\aug_000150_local_DataSet_Image_000141_Black_spot(1154).jpg || train\black_spot\local_DataSet_Image_000043_Black_spot(152).jpg || train\black_spot\local_DataSet_Image_000044_Black_spot(220).jpg"
"1111001111000000100000001000000010011000100000001100000111100011","2","train","black_spot","train\black_spot\aug_000172_local_DataSet_Image_000011_Black_spot(810).jpg || train\black_spot\local_DataSet_Image_000530_Black_spot(970).jpg"
"0011110000111110011000001100001110001110100011001000000000000000","2","train","black_spot","train\black_spot\aug_000186_local_DataSet_Image_000161_Black_spot(163).jpg || train\black_spot\local_DataSet_Image_000161_Black_spot(163).jpg"
"1111111111100001110000011000000010001000100000011000000111000011","2","train","black_spot","train\black_spot\aug_000187_local_DataSet_Image_000464_Black_spot(858).jpg || train\black_spot\local_DataSet_Image_000464_Black_spot(858).jpg"
"1111111111100001110000001000000010010000100000001000000011000001","6","train|valid","black_spot","train\black_spot\aug_000213_local_DataSet_Image_000331_Black_spot(172).jpg || train\black_spot\local_DataSet_Image_000091_Black_spot(57).jpg || train\black_spot\local_DataSet_Image_000092_Black_spot(949).jpg || train\black_spot\local_DataSet_Image_000603_Black_spot(679).jpg || train\black_spot\local_DataSet_Image_000805_Black_spot(232).jpg || valid\black_spot\local_DataSet_Image_000092_Black_spot(710).jpg"
"1110011111000001110000011000000010001100100010001100000011100001","2","train","black_spot","train\black_spot\aug_000246_local_DataSet_Image_000773_Black_spot(1089).jpg || train\black_spot\local_DataSet_Image_000773_Black_spot(1089).jpg"
"1111111111000001100000001000000010110000100100001000000111000011","3","train","black_spot|canker","train\black_spot\aug_000250_local_DataSet_Image_000730_Black_spot(1020).jpg || train\canker\local_DataSet_Image_001074_Canker(291).jpg || train\canker\local_DataSet_Image_001075_Canker(535).jpg"
"1111111111000011100000011000000010010000100000001100000011100001","3","train|valid","black_spot","train\black_spot\aug_000254_local_DataSet_Image_000665_Black_spot(707).jpg || train\black_spot\local_DataSet_Image_000423_Black_spot(914).jpg || valid\black_spot\local_DataSet_Image_000177_Black_spot(218).jpg"
"1111111111000011100000011000000000001000000000001000000011000001","2","train","black_spot","train\black_spot\aug_000274_local_DataSet_Image_000060_Black_spot(138).jpg || train\black_spot\local_DataSet_Image_000766_Black_spot(762).jpg"
"1111111111100011100000001000000010110000100000001000000011000001","2","train","black_spot","train\black_spot\aug_000286_local_DataSet_Image_000552_Black_spot(739).jpg || train\black_spot\local_DataSet_Image_000552_Black_spot(739).jpg"
"1111111111000011110000001000000010000000100000001000000011000001","3","train|valid","black_spot","train\black_spot\aug_000299_local_DataSet_Image_000099_Black_spot(103).jpg || train\black_spot\local_DataSet_Image_000602_Black_spot(226).jpg || valid\black_spot\local_DataSet_Image_000153_Black_spot(223).jpg"
"1111111111100001110000001000000010001000100000001000000111000001","3","train","black_spot","train\black_spot\aug_000317_local_DataSet_Image_000111_Black_spot(799).jpg || train\black_spot\local_DataSet_Image_000111_Black_spot(799).jpg || train\black_spot\local_DataSet_Image_000112_Black_spot(82).jpg"
"1111111111000001100000000000000010000100100000001100000111110011","3","train","black_spot","train\black_spot\aug_000326_local_DataSet_Image_000285_Black_spot(1120).jpg || train\black_spot\local_DataSet_Image_000285_Black_spot(1120).jpg || train\black_spot\local_DataSet_Image_000286_Black_spot(127).jpg"
"1111111111000001100000001000000010000100100001001100000111100001","2","train","black_spot|canker","train\black_spot\aug_000334_local_DataSet_Image_000051_Black_spot(1082).jpg || train\canker\local_DataSet_Image_001595_Canker(721).jpg"
"0001110000111110011111111011111010111110101110000000100100000010","3","train","black_spot","train\black_spot\aug_000387_local_DataSet_Image_000190_Black_spot(324).jpg || train\black_spot\local_DataSet_Image_000189_Black_spot(160).jpg || train\black_spot\local_DataSet_Image_000190_Black_spot(324).jpg"
"1111111111100011100000011000000010010000100000001000000011000001","3","train","black_spot","train\black_spot\aug_000408_local_DataSet_Image_000267_Black_spot(1127).jpg || train\black_spot\local_DataSet_Image_000277_Black_spot(1220).jpg || train\black_spot\local_DataSet_Image_000278_Black_spot(147).jpg"
"0001110000001110010111111001111110001101100001010000001100000110","2","train","black_spot","train\black_spot\aug_000420_local_DataSet_Image_000468_Black_spot(543).jpg || train\black_spot\local_DataSet_Image_000468_Black_spot(543).jpg"
"1111111111110011110000001000000010001000100000001100000111111111","2","train","black_spot","train\black_spot\aug_000443_local_DataSet_Image_000556_Black_spot(732).jpg || train\black_spot\local_DataSet_Image_000556_Black_spot(732).jpg"
"1111111111100011110000001000001010001100100000001000000011000001","2","train|valid","black_spot","train\black_spot\aug_000464_local_DataSet_Image_000278_Black_spot(147).jpg || valid\black_spot\local_DataSet_Image_000084_Black_spot(808).jpg"
"1111111111100000110000001000000010010000100000001000000111000011","2","train","black_spot","train\black_spot\aug_000475_local_DataSet_Image_000500_Black_spot(1025).jpg || train\black_spot\local_DataSet_Image_000500_Black_spot(1025).jpg"
"1111111111000001100100001000000010000000100000001000000011000000","2","train","black_spot","train\black_spot\aug_000513_local_DataSet_Image_000373_Black_spot(741).jpg || train\black_spot\local_DataSet_Image_000373_Black_spot(741).jpg"
"1111111111000011100000011000010000001100000000001000000011000001","2","train","black_spot","train\black_spot\aug_000515_local_DataSet_Image_000040_Black_spot(346).jpg || train\black_spot\local_DataSet_Image_000641_Black_spot(859).jpg"
"0111100001100001010000000000110010011000100000001000000111000011","2","train","black_spot","train\black_spot\aug_000534_local_DataSet_Image_000422_Black_spot(735).jpg || train\black_spot\local_DataSet_Image_000422_Black_spot(735).jpg"
"1111111111000001100000000000000000000110100000001000000111100011","3","train","black_spot","train\black_spot\aug_000579_local_DataSet_Image_000339_Black_spot(1065).jpg || train\black_spot\local_DataSet_Image_000339_Black_spot(1065).jpg || train\black_spot\local_DataSet_Image_000340_Black_spot(116).jpg"
"1111111111000011100000011000000010001000100000001000000011000001","4","train","black_spot|canker","train\black_spot\aug_000587_local_DataSet_Image_000111_Black_spot(799).jpg || train\black_spot\local_DataSet_Image_000767_Black_spot(1150).jpg || train\canker\local_DataSet_Image_001024_Canker(635).jpg || train\canker\local_DataSet_Image_001025_Canker(659).jpg"
"1111111111100000110000001000000010100000100000001100000111000011","2","train","black_spot","train\black_spot\aug_000609_local_DataSet_Image_000703_Black_spot(1037).jpg || train\black_spot\local_DataSet_Image_000703_Black_spot(1037).jpg"
"0111100001000011000000010011000010111000100000001000000011100011","2","train","black_spot","train\black_spot\aug_000618_local_DataSet_Image_000680_Black_spot(692).jpg || train\black_spot\local_DataSet_Image_000680_Black_spot(692).jpg"
"1111111110000011000000010000010100000101100000011100001111100011","3","train","black_spot","train\black_spot\local_DataSet_Image_000000_Black_spot(1144).jpg || train\black_spot\local_DataSet_Image_000001_Black_spot(47).jpg || train\black_spot\local_DataSet_Image_000002_Black_spot(500).jpg"
"1111111111100011100000011000000000000100000000001000000011000001","2","train","black_spot","train\black_spot\local_DataSet_Image_000003_Black_spot(843).jpg || train\black_spot\local_DataSet_Image_000004_Black_spot(91).jpg"
"1111111111000001100000001000000010011000100010001100000111100001","2","train","black_spot","train\black_spot\local_DataSet_Image_000005_Black_spot(164).jpg || train\black_spot\local_DataSet_Image_000006_Black_spot(910).jpg"
"0001111000100000110000001000110010111100101111000111110100111110","2","train","black_spot","train\black_spot\local_DataSet_Image_000007_Black_spot(33).jpg || train\black_spot\local_DataSet_Image_000008_Black_spot(433).jpg"
"1111111111100000110000001000000010000000100000001100000111100011","2","train","black_spot","train\black_spot\local_DataSet_Image_000009_Black_spot(976).jpg || train\black_spot\local_DataSet_Image_000010_Black_spot(99).jpg"
"1111111111100011110000011000100010001000000000001000000010000001","2","train","black_spot","train\black_spot\local_DataSet_Image_000011_Black_spot(810).jpg || train\black_spot\local_DataSet_Image_000012_Black_spot(84).jpg"
"0001110000100000011100001111100011111100111111000111110000111010","2","train","black_spot","train\black_spot\local_DataSet_Image_000015_Black_spot(650).jpg || train\black_spot\local_DataSet_Image_000016_Black_spot(76).jpg"
"0000111111000001100011000001111000010100000001000000000101100011","2","train","black_spot","train\black_spot\local_DataSet_Image_000017_Black_spot(49).jpg || train\black_spot\local_DataSet_Image_000018_Black_spot(511).jpg"
"0000001001000001101110001111000011111100011111100111110101111110","2","train","black_spot","train\black_spot\local_DataSet_Image_000019_Black_spot(32).jpg || train\black_spot\local_DataSet_Image_000020_Black_spot(428).jpg"
"1111111111000011100000001001000010011000100000001000000011100001","2","train","black_spot","train\black_spot\local_DataSet_Image_000021_Black_spot(35).jpg || train\black_spot\local_DataSet_Image_000022_Black_spot(938).jpg"
"1111111111100001110000001000100010001000100000001000000011000001","2","train","black_spot","train\black_spot\local_DataSet_Image_000023_Black_spot(27).jpg || train\black_spot\local_DataSet_Image_000024_Black_spot(400).jpg"
"0111111111100101110001111000110010001110000001001000000111000001","2","train","black_spot","train\black_spot\local_DataSet_Image_000027_Black_spot(300).jpg || train\black_spot\local_DataSet_Image_000028_Black_spot(7).jpg"
"0000001111000001110000001000010010011000010011000110010001110001","2","train","black_spot","train\black_spot\local_DataSet_Image_000029_Black_spot(617).jpg || train\black_spot\local_DataSet_Image_000030_Black_spot(70).jpg"
"0111100001110011010000000101000010001000100000001100000111000011","2","train","black_spot","train\black_spot\local_DataSet_Image_000031_Black_spot(23).jpg || train\black_spot\local_DataSet_Image_000032_Black_spot(384).jpg"
"1111111111100011110000011000000010000100100000001100000011100001","3","train","black_spot","train\black_spot\local_DataSet_Image_000033_Black_spot(794).jpg || train\black_spot\local_DataSet_Image_000034_Black_spot(81).jpg || train\black_spot\local_DataSet_Image_000804_Black_spot(798).jpg"
"1111111111000011100000001000001010010000100000001000000011000001","2","train","black_spot","train\black_spot\local_DataSet_Image_000035_Black_spot(854).jpg || train\black_spot\local_DataSet_Image_000036_Black_spot(93).jpg"
"1111111111000001100000000000000000000100100000001100000111100111","2","train","black_spot","train\black_spot\local_DataSet_Image_000037_Black_spot(1165).jpg || train\black_spot\local_DataSet_Image_000038_Black_spot(136).jpg"
"1111111111100001110000001000000010011000100000001000000011000001","5","train","black_spot|canker","train\black_spot\local_DataSet_Image_000039_Black_spot(157).jpg || train\black_spot\local_DataSet_Image_000040_Black_spot(346).jpg || train\black_spot\local_DataSet_Image_000502_Black_spot(736).jpg || train\black_spot\local_DataSet_Image_000715_Black_spot(216).jpg || train\canker\local_DataSet_Image_001430_Canker(861).jpg"
"0001111000111110110110011011110010111010100000000000000100110010","2","train","black_spot","train\black_spot\local_DataSet_Image_000041_Black_spot(34).jpg || train\black_spot\local_DataSet_Image_000042_Black_spot(439).jpg"
"0011110000111110011011111001111110010010100011101000000100000000","2","train","black_spot","train\black_spot\local_DataSet_Image_000045_Black_spot(184).jpg || train\black_spot\local_DataSet_Image_000046_Black_spot(267).jpg"
"1111111111000011100000010000000000001100000000001000000111100011","2","train","black_spot","train\black_spot\local_DataSet_Image_000049_Black_spot(876).jpg || train\black_spot\local_DataSet_Image_000050_Black_spot(98).jpg"
"1111111111000001100000001000000010000100100011001100000111100011","2","train","black_spot","train\black_spot\local_DataSet_Image_000051_Black_spot(1082).jpg || train\black_spot\local_DataSet_Image_000052_Black_spot(119).jpg"
"0001111000000010100011111001111100001111100011110000100100001010","2","train","black_spot","train\black_spot\local_DataSet_Image_000055_Black_spot(53).jpg || train\black_spot\local_DataSet_Image_000056_Black_spot(533).jpg"
"1111111111100011110000011000000010010000100000001000000011000000","2","train","black_spot","train\black_spot\local_DataSet_Image_000057_Black_spot(1231).jpg || train\black_spot\local_DataSet_Image_000058_Black_spot(149).jpg"
"0000011111100001110000001001100010111000000111100100010001100001","2","train","black_spot","train\black_spot\local_DataSet_Image_000061_Black_spot(30).jpg || train\black_spot\local_DataSet_Image_000062_Black_spot(417).jpg"
"1111111110000011100000010000000000000000100001101000000111000011","2","train","black_spot","train\black_spot\local_DataSet_Image_000065_Black_spot(1060).jpg || train\black_spot\local_DataSet_Image_000066_Black_spot(115).jpg"
"1111111111110111110000011000100010000000100000001000000111000001","2","train","black_spot","train\black_spot\local_DataSet_Image_000067_Black_spot(171).jpg || train\black_spot\local_DataSet_Image_000068_Black_spot(879).jpg"
"0011110000000000000000011000110010011110101111111100111100111110","2","train","black_spot","train\black_spot\local_DataSet_Image_000069_Black_spot(183).jpg || train\black_spot\local_DataSet_Image_000070_Black_spot(262).jpg"
"0000111111101111100111111010111100011110000001000000000001000001","2","train","black_spot","train\black_spot\local_DataSet_Image_000071_Black_spot(48).jpg || train\black_spot\local_DataSet_Image_000072_Black_spot(506).jpg"
