"Rel","Split","Class","Ext","Bytes","Readable","W","H","Pix","Mean","Std"
"test\black_spot\local_DataSet_Image_000100_Black_spot(930).jpg","test","black_spot",".jpg","15594","True","224","224","Format24bppRgb","109,46","51,3"
"test\black_spot\local_DataSet_Image_000101_Black_spot(1056).jpg","test","black_spot",".jpg","17045","True","224","224","Format24bppRgb","110,21","54,13"
"test\black_spot\local_DataSet_Image_000102_Black_spot(966).jpg","test","black_spot",".jpg","15981","True","224","224","Format24bppRgb","125,85","55,4"
"test\black_spot\local_DataSet_Image_000103_Black_spot(323).jpg","test","black_spot",".jpg","17251","True","224","224","Format24bppRgb","76,42","50,68"
"test\black_spot\local_DataSet_Image_000104_Black_spot(599).jpg","test","black_spot",".jpg","17143","True","224","224","Format24bppRgb","119,83","53,85"
"test\black_spot\local_DataSet_Image_000105_Black_spot(319).jpg","test","black_spot",".jpg","18156","True","224","224","Format24bppRgb","85,69","53,37"
"test\black_spot\local_DataSet_Image_000106_Black_spot(514).jpg","test","black_spot",".jpg","17216","True","224","224","Format24bppRgb","85,46","52,07"
"test\black_spot\local_DataSet_Image_000107_Black_spot(756).jpg","test","black_spot",".jpg","15288","True","224","224","Format24bppRgb","124,85","49,47"
"test\black_spot\local_DataSet_Image_000108_Black_spot(1233).jpg","test","black_spot",".jpg","17057","True","224","224","Format24bppRgb","105,54","52,17"
"test\black_spot\local_DataSet_Image_000109_Black_spot(714).jpg","test","black_spot",".jpg","15904","True","224","224","Format24bppRgb","123,74","57,91"
"test\black_spot\local_DataSet_Image_000110_Black_spot(869).jpg","test","black_spot",".jpg","16946","True","224","224","Format24bppRgb","105,6","51,35"
"test\black_spot\local_DataSet_Image_000111_Black_spot(1066).jpg","test","black_spot",".jpg","14722","True","224","224","Format24bppRgb","107,31","46,27"
"test\black_spot\local_DataSet_Image_000112_Black_spot(488).jpg","test","black_spot",".jpg","18481","True","224","224","Format24bppRgb","115,41","56,76"
"test\black_spot\local_DataSet_Image_000113_Black_spot(249).jpg","test","black_spot",".jpg","15111","True","224","224","Format24bppRgb","82,97","51,37"
"test\black_spot\local_DataSet_Image_000114_Black_spot(446).jpg","test","black_spot",".jpg","18163","True","224","224","Format24bppRgb","97,31","64,48"
"test\black_spot\local_DataSet_Image_000115_Black_spot(778).jpg","test","black_spot",".jpg","16569","True","224","224","Format24bppRgb","103,61","48,81"
"test\black_spot\local_DataSet_Image_000116_Black_spot(219).jpg","test","black_spot",".jpg","16324","True","224","224","Format24bppRgb","103,25","54,28"
"test\black_spot\local_DataSet_Image_000117_Black_spot(631).jpg","test","black_spot",".jpg","18373","True","224","224","Format24bppRgb","73,99","51,4"
"test\black_spot\local_DataSet_Image_000118_Black_spot(830).jpg","test","black_spot",".jpg","14516","True","224","224","Format24bppRgb","125,98","58,31"
"test\black_spot\local_DataSet_Image_000119_Black_spot(548).jpg","test","black_spot",".jpg","16291","True","224","224","Format24bppRgb","77,67","55,34"
"test\black_spot\local_DataSet_Image_000120_Black_spot(1161).jpg","test","black_spot",".jpg","15836","True","224","224","Format24bppRgb","96,06","46,5"
"test\black_spot\local_DataSet_Image_000121_Black_spot(1123).jpg","test","black_spot",".jpg","18424","True","224","224","Format24bppRgb","81,98","55,53"
"test\black_spot\local_DataSet_Image_000122_Black_spot(463).jpg","test","black_spot",".jpg","17718","True","224","224","Format24bppRgb","77,34","49,83"
"test\black_spot\local_DataSet_Image_000123_Black_spot(1081).jpg","test","black_spot",".jpg","14953","True","224","224","Format24bppRgb","109,06","54,15"
"test\black_spot\local_DataSet_Image_000124_Black_spot(131).jpg","test","black_spot",".jpg","15312","True","224","224","Format24bppRgb","108,27","55,09"
"test\black_spot\local_DataSet_Image_000125_Black_spot(277).jpg","test","black_spot",".jpg","17772","True","224","224","Format24bppRgb","85,9","59"
"test\black_spot\local_DataSet_Image_000126_Black_spot(413).jpg","test","black_spot",".jpg","18368","True","224","224","Format24bppRgb","99,9","64,46"
"test\black_spot\local_DataSet_Image_000127_Black_spot(723).jpg","test","black_spot",".jpg","17064","True","224","224","Format24bppRgb","135,82","55,62"
"test\black_spot\local_DataSet_Image_000128_Black_spot(287).jpg","test","black_spot",".jpg","16350","True","224","224","Format24bppRgb","90,88","52,36"
"test\black_spot\local_DataSet_Image_000129_Black_spot(894).jpg","test","black_spot",".jpg","16132","True","224","224","Format24bppRgb","112,66","54,59"
"test\black_spot\local_DataSet_Image_000130_Black_spot(204).jpg","test","black_spot",".jpg","15964","True","224","224","Format24bppRgb","121,51","55,05"
"test\black_spot\local_DataSet_Image_000131_Black_spot(1174).jpg","test","black_spot",".jpg","15414","True","224","224","Format24bppRgb","103,96","51,96"
"test\black_spot\local_DataSet_Image_000132_Black_spot(842).jpg","test","black_spot",".jpg","15729","True","224","224","Format24bppRgb","105,61","57,24"
"test\black_spot\local_DataSet_Image_000133_Black_spot(1000).jpg","test","black_spot",".jpg","16771","True","224","224","Format24bppRgb","104,84","48,4"
"test\black_spot\local_DataSet_Image_000134_Black_spot(352).jpg","test","black_spot",".jpg","17565","True","224","224","Format24bppRgb","68,67","47,9"
"test\black_spot\local_DataSet_Image_000135_Black_spot(250).jpg","test","black_spot",".jpg","15182","True","224","224","Format24bppRgb","91,87","54,08"
"test\black_spot\local_DataSet_Image_000136_Black_spot(900).jpg","test","black_spot",".jpg","16519","True","224","224","Format24bppRgb","100,99","65,37"
"test\black_spot\local_DataSet_Image_000137_Black_spot(950).jpg","test","black_spot",".jpg","16295","True","224","224","Format24bppRgb","107,07","49,36"
"test\black_spot\local_DataSet_Image_000138_Black_spot(1008).jpg","test","black_spot",".jpg","17050","True","224","224","Format24bppRgb","103,94","46,15"
"test\black_spot\local_DataSet_Image_000139_Black_spot(459).jpg","test","black_spot",".jpg","18988","True","224","224","Format24bppRgb","73,73","51,9"
"test\black_spot\local_DataSet_Image_000140_Black_spot(298).jpg","test","black_spot",".jpg","16218","True","224","224","Format24bppRgb","98,14","51,24"
"test\black_spot\local_DataSet_Image_000141_Black_spot(337).jpg","test","black_spot",".jpg","17089","True","224","224","Format24bppRgb","73,74","52,44"
"test\black_spot\local_DataSet_Image_000142_Black_spot(568).jpg","test","black_spot",".jpg","16721","True","224","224","Format24bppRgb","112,91","49,6"
"test\black_spot\local_DataSet_Image_000143_Black_spot(1042).jpg","test","black_spot",".jpg","16094","True","224","224","Format24bppRgb","136,8","56,65"
"test\black_spot\local_DataSet_Image_000144_Black_spot(437).jpg","test","black_spot",".jpg","17070","True","224","224","Format24bppRgb","74,91","54,32"
"test\black_spot\local_DataSet_Image_000145_Black_spot(877).jpg","test","black_spot",".jpg","17061","True","224","224","Format24bppRgb","114,89","57,59"
"test\black_spot\local_DataSet_Image_000146_Black_spot(343).jpg","test","black_spot",".jpg","16955","True","224","224","Format24bppRgb","71,45","49,52"
"test\black_spot\local_DataSet_Image_000147_Black_spot(470).jpg","test","black_spot",".jpg","17293","True","224","224","Format24bppRgb","74,94","47,13"
"test\black_spot\local_DataSet_Image_000148_Black_spot(1134).jpg","test","black_spot",".jpg","15386","True","224","224","Format24bppRgb","121,16","51,74"
"test\black_spot\local_DataSet_Image_000149_Black_spot(831).jpg","test","black_spot",".jpg","16736","True","224","224","Format24bppRgb","134,16","55,01"
"test\black_spot\local_DataSet_Image_000150_Black_spot(425).jpg","test","black_spot",".jpg","17194","True","224","224","Format24bppRgb","82,2","58,3"
"test\black_spot\local_DataSet_Image_000151_Black_spot(822).jpg","test","black_spot",".jpg","17551","True","224","224","Format24bppRgb","124,7","55,49"
"test\black_spot\local_DataSet_Image_000152_Black_spot(1061).jpg","test","black_spot",".jpg","16996","True","224","224","Format24bppRgb","106,79","50,84"
"test\black_spot\local_DataSet_Image_000153_Black_spot(750).jpg","test","black_spot",".jpg","15068","True","224","224","Format24bppRgb","140,26","54,6"
"test\black_spot\local_DataSet_Image_000154_Black_spot(1051).jpg","test","black_spot",".jpg","16012","True","224","224","Format24bppRgb","100,17","46,86"
"test\black_spot\local_DataSet_Image_000155_Black_spot(789).jpg","test","black_spot",".jpg","15481","True","224","224","Format24bppRgb","101,44","49,12"
"test\black_spot\local_DataSet_Image_000156_Black_spot(1214).jpg","test","black_spot",".jpg","15112","True","224","224","Format24bppRgb","114,46","53,92"
"test\black_spot\local_DataSet_Image_000157_Black_spot(580).jpg","test","black_spot",".jpg","17140","True","224","224","Format24bppRgb","89,94","54,44"
"test\black_spot\local_DataSet_Image_000158_Black_spot(383).jpg","test","black_spot",".jpg","17731","True","224","224","Format24bppRgb","85,9","53,71"
"test\black_spot\local_DataSet_Image_000159_Black_spot(464).jpg","test","black_spot",".jpg","16436","True","224","224","Format24bppRgb","79,02","53,03"
"test\black_spot\local_DataSet_Image_000160_Black_spot(550).jpg","test","black_spot",".jpg","16495","True","224","224","Format24bppRgb","98,27","61,19"
"test\black_spot\local_DataSet_Image_000161_Black_spot(624).jpg","test","black_spot",".jpg","18090","True","224","224","Format24bppRgb","81,41","47,95"
"test\black_spot\local_DataSet_Image_000162_Black_spot(268).jpg","test","black_spot",".jpg","16849","True","224","224","Format24bppRgb","90,22","58,53"
"test\black_spot\local_DataSet_Image_000163_Black_spot(780).jpg","test","black_spot",".jpg","14924","True","224","224","Format24bppRgb","110,96","56,39"
"test\black_spot\local_DataSet_Image_000164_Black_spot(186).jpg","test","black_spot",".jpg","22028","True","224","224","Format24bppRgb","107,84","46,94"
"test\black_spot\local_DataSet_Image_000165_Black_spot(812).jpg","test","black_spot",".jpg","17071","True","224","224","Format24bppRgb","114,27","52,28"
"test\black_spot\local_DataSet_Image_000166_Black_spot(1075).jpg","test","black_spot",".jpg","16002","True","224","224","Format24bppRgb","106,13","58,4"
"test\black_spot\local_DataSet_Image_000167_Black_spot(1223).jpg","test","black_spot",".jpg","17915","True","224","224","Format24bppRgb","79,08","55,26"
"test\black_spot\local_DataSet_Image_000168_Black_spot(646).jpg","test","black_spot",".jpg","18259","True","224","224","Format24bppRgb","81,54","52,08"
"test\black_spot\local_DataSet_Image_000169_Black_spot(276).jpg","test","black_spot",".jpg","15263","True","224","224","Format24bppRgb","74,07","47,05"
"test\black_spot\local_DataSet_Image_000170_Black_spot(569).jpg","test","black_spot",".jpg","14187","True","224","224","Format24bppRgb","83,4","51,13"
"test\black_spot\local_DataSet_Image_000171_Black_spot(1074).jpg","test","black_spot",".jpg","14285","True","224","224","Format24bppRgb","114,72","49,11"
"test\black_spot\local_DataSet_Image_000172_Black_spot(933).jpg","test","black_spot",".jpg","15235","True","224","224","Format24bppRgb","102,19","52,95"
"test\black_spot\local_DataSet_Image_000173_Black_spot(673).jpg","test","black_spot",".jpg","19027","True","224","224","Format24bppRgb","78,09","52,46"
"test\black_spot\local_DataSet_Image_000174_Black_spot(792).jpg","test","black_spot",".jpg","16242","True","224","224","Format24bppRgb","105,98","48,83"
"test\black_spot\local_DataSet_Image_000175_Black_spot(293).jpg","test","black_spot",".jpg","17519","True","224","224","Format24bppRgb","91,72","49,39"
"test\black_spot\local_DataSet_Image_000176_Black_spot(614).jpg","test","black_spot",".jpg","17791","True","224","224","Format24bppRgb","114","63,36"
"test\black_spot\local_DataSet_Image_000177_Black_spot(974).jpg","test","black_spot",".jpg","17205","True","224","224","Format24bppRgb","131,36","50,94"
"test\black_spot\local_DataSet_Image_000178_Black_spot(227).jpg","test","black_spot",".jpg","15874","True","224","224","Format24bppRgb","98,38","49,11"
"test\black_spot\local_DataSet_Image_000179_Black_spot(845).jpg","test","black_spot",".jpg","12834","True","224","224","Format24bppRgb","107,26","45,48"
"test\black_spot\local_DataSet_Image_000180_Black_spot(977).jpg","test","black_spot",".jpg","14336","True","224","224","Format24bppRgb","96,02","47,79"
"test\black_spot\local_DataSet_Image_000181_Black_spot(1183).jpg","test","black_spot",".jpg","17038","True","224","224","Format24bppRgb","111,47","53,89"
"test\black_spot\local_DataSet_Image_000182_Black_spot(1170).jpg","test","black_spot",".jpg","17339","True","224","224","Format24bppRgb","102,2","49,18"
"test\black_spot\local_DataSet_Image_000183_Black_spot(414).jpg","test","black_spot",".jpg","17083","True","224","224","Format24bppRgb","89,09","57,74"
"test\black_spot\local_DataSet_Image_000184_Black_spot(1218).jpg","test","black_spot",".jpg","18060","True","224","224","Format24bppRgb","99,11","49,15"
"test\canker\local_DataSet_Image_000185_Canker(131).jpg","test","canker",".jpg","15485","True","224","224","Format24bppRgb","87,7","67,16"
"test\canker\local_DataSet_Image_000186_Canker(335).jpg","test","canker",".jpg","16587","True","224","224","Format24bppRgb","96,66","54,27"
"test\canker\local_DataSet_Image_000187_Canker(207).jpg","test","canker",".jpg","16885","True","224","224","Format24bppRgb","85,9","51,65"
"test\canker\local_DataSet_Image_000188_Canker(652).jpg","test","canker",".jpg","14303","True","224","224","Format24bppRgb","97,7","66,32"
"test\canker\local_DataSet_Image_000189_Canker(698).jpg","test","canker",".jpg","17329","True","224","224","Format24bppRgb","99,48","55,17"
"test\canker\local_DataSet_Image_000190_Canker(877).jpg","test","canker",".jpg","17699","True","224","224","Format24bppRgb","126,14","62,44"
"test\canker\local_DataSet_Image_000191_Canker(731).jpg","test","canker",".jpg","17131","True","224","224","Format24bppRgb","85,41","52,41"
"test\canker\local_DataSet_Image_000192_Canker(706).jpg","test","canker",".jpg","16703","True","224","224","Format24bppRgb","124,37","55,24"
