"AHash","Rel","Split","Class","Base"
"0000001111000001100000001001100010110110000110100111000101100111","test\black_spot\local_DataSet_Image_000034_Black_spot(605).jpg","test","black_spot","local_DataSet_Image_000034_Black_spot(605)"
"1111111111000011110000001000010010000000100000001000000011000001","test\black_spot\local_DataSet_Image_000035_Black_spot(201).jpg","test","black_spot","local_DataSet_Image_000035_Black_spot(201)"
"0000111001111011111000011100011010001110000001110000101101101111","test\black_spot\local_DataSet_Image_000036_Black_spot(320).jpg","test","black_spot","local_DataSet_Image_000036_Black_spot(320)"
"0000010000000000000011001001111010111111100111110001111100011110","test\black_spot\local_DataSet_Image_000037_Black_spot(451).jpg","test","black_spot","local_DataSet_Image_000037_Black_spot(451)"
"0011010000000010000000011001110011111100111111101011111100110110","test\black_spot\local_DataSet_Image_000038_Black_spot(667).jpg","test","black_spot","local_DataSet_Image_000038_Black_spot(667)"
"1111111111000001100000011000000010000000100000001100000011100001","test\black_spot\local_DataSet_Image_000039_Black_spot(817).jpg","test","black_spot","local_DataSet_Image_000039_Black_spot(817)"
"0001110000001110000011110001111100011111100111110001111100001110","test\black_spot\local_DataSet_Image_000040_Black_spot(257).jpg","test","black_spot","local_DataSet_Image_000040_Black_spot(257)"
"0001000000000000010111001011111011110111111111100111111100111110","test\black_spot\local_DataSet_Image_000041_Black_spot(656).jpg","test","black_spot","local_DataSet_Image_000041_Black_spot(656)"
"0001110000100000011110001111110011111100111110000111100000110000","test\black_spot\local_DataSet_Image_000042_Black_spot(653).jpg","test","black_spot","local_DataSet_Image_000042_Black_spot(653)"
"1111111111000001100000001001000010000000100000001100000111110111","test\black_spot\local_DataSet_Image_000043_Black_spot(1023).jpg","test","black_spot","local_DataSet_Image_000043_Black_spot(1023)"
"0011100001100011010001110000111010000111100000011000000101000111","test\black_spot\local_DataSet_Image_000044_Black_spot(574).jpg","test","black_spot","local_DataSet_Image_000044_Black_spot(574)"
"0111100001011011000110010001100010000000100000001100000011000001","test\black_spot\local_DataSet_Image_000045_Black_spot(791).jpg","test","black_spot","local_DataSet_Image_000045_Black_spot(791)"
"1111111111000001110000001000100010010100100000001100000011100011","test\black_spot\local_DataSet_Image_000046_Black_spot(999).jpg","test","black_spot","local_DataSet_Image_000046_Black_spot(999)"
"0011110000000110000000011000011110001111100011101000000100100010","test\black_spot\local_DataSet_Image_000047_Black_spot(261).jpg","test","black_spot","local_DataSet_Image_000047_Black_spot(261)"
"1111111111100001100000000000000000001100100010011100000111100111","test\black_spot\local_DataSet_Image_000048_Black_spot(1196).jpg","test","black_spot","local_DataSet_Image_000048_Black_spot(1196)"
"1111111111000001100000000000010000000100100000001100000111110011","test\black_spot\local_DataSet_Image_000049_Black_spot(1102).jpg","test","black_spot","local_DataSet_Image_000049_Black_spot(1102)"
"0111100001110011010000000000100010111000100100001000000011000011","test\black_spot\local_DataSet_Image_000050_Black_spot(802).jpg","test","black_spot","local_DataSet_Image_000050_Black_spot(802)"
"1111111111000011100000011000000110001100100000001100000111100001","test\black_spot\local_DataSet_Image_000051_Black_spot(1175).jpg","test","black_spot","local_DataSet_Image_000051_Black_spot(1175)"
"1111111111000001100000000000010000000100000001011000000111000011","test\black_spot\local_DataSet_Image_000052_Black_spot(1173).jpg","test","black_spot","local_DataSet_Image_000052_Black_spot(1173)"
"0000011000000000110000001001100011111110011111100101111100111110","test\black_spot\local_DataSet_Image_000053_Black_spot(630).jpg","test","black_spot","local_DataSet_Image_000053_Black_spot(630)"
"0111100001000011010000010101000010111000110100001100000111100011","test\black_spot\local_DataSet_Image_000054_Black_spot(684).jpg","test","black_spot","local_DataSet_Image_000054_Black_spot(684)"
"0001110000100110010110111001111110001111100111110001101100000110","test\black_spot\local_DataSet_Image_000055_Black_spot(547).jpg","test","black_spot","local_DataSet_Image_000055_Black_spot(547)"
"1111111111100111110000011000000010010000100000001000000011000000","test\black_spot\local_DataSet_Image_000056_Black_spot(215).jpg","test","black_spot","local_DataSet_Image_000056_Black_spot(215)"
"1111111111000001100000001000000010010000100000001000000111100111","test\black_spot\local_DataSet_Image_000057_Black_spot(967).jpg","test","black_spot","local_DataSet_Image_000057_Black_spot(967)"
"1111111111000000110000001000000010010000100100001000000011100011","test\black_spot\local_DataSet_Image_000058_Black_spot(1030).jpg","test","black_spot","local_DataSet_Image_000058_Black_spot(1030)"
"0111100001110011011000001001100010011000100000001100000011100000","test\black_spot\local_DataSet_Image_000059_Black_spot(868).jpg","test","black_spot","local_DataSet_Image_000059_Black_spot(868)"
"0001110000001110000111111001111110011111100111110000111100000010","test\black_spot\local_DataSet_Image_000060_Black_spot(342).jpg","test","black_spot","local_DataSet_Image_000060_Black_spot(342)"
"1111111111000011000000000000000000001000100000001100000111111111","test\black_spot\local_DataSet_Image_000061_Black_spot(1125).jpg","test","black_spot","local_DataSet_Image_000061_Black_spot(1125)"
"1111111111100001110000001000000010100000100000001100000111000011","test\black_spot\local_DataSet_Image_000062_Black_spot(1039).jpg","test","black_spot","local_DataSet_Image_000062_Black_spot(1039)"
"1111111111000001100000001000000010111000100000001000000011100001","test\black_spot\local_DataSet_Image_000063_Black_spot(917).jpg","test","black_spot","local_DataSet_Image_000063_Black_spot(917)"
"0001110000100110000111111001111110011111100011110000111100000010","test\black_spot\local_DataSet_Image_000064_Black_spot(254).jpg","test","black_spot","local_DataSet_Image_000064_Black_spot(254)"
"1111111111000001100000001000000000000100100000001000000111000011","test\black_spot\local_DataSet_Image_000065_Black_spot(1151).jpg","test","black_spot","local_DataSet_Image_000065_Black_spot(1151)"
"1111111111100001110000001000000010000110100000011100000111100011","test\black_spot\local_DataSet_Image_000066_Black_spot(1110).jpg","test","black_spot","local_DataSet_Image_000066_Black_spot(1110)"
"0001111000110010110010001100000011111000111110000100000100100110","test\black_spot\local_DataSet_Image_000067_Black_spot(205).jpg","test","black_spot","local_DataSet_Image_000067_Black_spot(205)"
"0111100001110001010110000011100010011000100000001100000011000001","test\black_spot\local_DataSet_Image_000068_Black_spot(813).jpg","test","black_spot","local_DataSet_Image_000068_Black_spot(813)"
"0011100001000001000000010000110010011110100111101101110101111111","test\black_spot\local_DataSet_Image_000069_Black_spot(476).jpg","test","black_spot","local_DataSet_Image_000069_Black_spot(476)"
"0110111101100011000011010001111100001001100011000000001001100101","test\black_spot\local_DataSet_Image_000070_Black_spot(192).jpg","test","black_spot","local_DataSet_Image_000070_Black_spot(192)"
"1111111111000011100001001000100000001010000000001000000010000001","test\black_spot\local_DataSet_Image_000071_Black_spot(899).jpg","test","black_spot","local_DataSet_Image_000071_Black_spot(899)"
"1111111111000011100000011000101000000000100000001000000011000001","test\black_spot\local_DataSet_Image_000072_Black_spot(896).jpg","test","black_spot","local_DataSet_Image_000072_Black_spot(896)"
"0011110000111010011111101101111010111110100011000000000000000000","test\black_spot\local_DataSet_Image_000073_Black_spot(469).jpg","test","black_spot","local_DataSet_Image_000073_Black_spot(469)"
"0011110000100000010000001111110011111100111110001111110000110010","test\black_spot\local_DataSet_Image_000074_Black_spot(562).jpg","test","black_spot","local_DataSet_Image_000074_Black_spot(562)"
"0000111001110001111000001111110011110100011100000101100001100001","test\black_spot\local_DataSet_Image_000075_Black_spot(1068).jpg","test","black_spot","local_DataSet_Image_000075_Black_spot(1068)"
"0001111000000010100001111000111110011111100111110001111100101110","test\black_spot\local_DataSet_Image_000076_Black_spot(206).jpg","test","black_spot","local_DataSet_Image_000076_Black_spot(206)"
"1111111111100001110000001000010010000000000000001000000110000011","test\black_spot\local_DataSet_Image_000077_Black_spot(853).jpg","test","black_spot","local_DataSet_Image_000077_Black_spot(853)"
"0001110000111010011111111111111111111110101110000000000000000000","test\black_spot\local_DataSet_Image_000078_Black_spot(452).jpg","test","black_spot","local_DataSet_Image_000078_Black_spot(452)"
"1110111110000001000000010000010000001110000010001000000111000011","test\black_spot\local_DataSet_Image_000079_Black_spot(1077).jpg","test","black_spot","local_DataSet_Image_000079_Black_spot(1077)"
"0001111000100000110000001100000010111000101110000111000100100010","test\black_spot\local_DataSet_Image_000080_Black_spot(534).jpg","test","black_spot","local_DataSet_Image_000080_Black_spot(534)"
"0000011111000001100000011000110010000100000000000100000101110111","test\black_spot\local_DataSet_Image_000081_Black_spot(507).jpg","test","black_spot","local_DataSet_Image_000081_Black_spot(507)"
"1111111111100011110000011000100010000000100000001100000011100000","test\black_spot\local_DataSet_Image_000082_Black_spot(1230).jpg","test","black_spot","local_DataSet_Image_000082_Black_spot(1230)"
"1111111111000001100000001000000010011000100000001000000011000000","test\black_spot\local_DataSet_Image_000083_Black_spot(755).jpg","test","black_spot","local_DataSet_Image_000083_Black_spot(755)"
"1111111111000011100000011000010010001000100000001000000011000001","test\black_spot\local_DataSet_Image_000084_Black_spot(795).jpg","test","black_spot","local_DataSet_Image_000084_Black_spot(795)"
"1111111111100011100000011000010100000000000000001000000011000001","test\black_spot\local_DataSet_Image_000085_Black_spot(840).jpg","test","black_spot","local_DataSet_Image_000085_Black_spot(840)"
"1111111111110001110000001000000010000000100000001000000011000001","test\black_spot\local_DataSet_Image_000086_Black_spot(221).jpg","test","black_spot","local_DataSet_Image_000086_Black_spot(221)"
"0000111111001111110011111000111110001111000011100000010101000001","test\black_spot\local_DataSet_Image_000087_Black_spot(518).jpg","test","black_spot","local_DataSet_Image_000087_Black_spot(518)"
"0011100001111011011101000111111010110000101111001100000001100000","test\black_spot\local_DataSet_Image_000088_Black_spot(668).jpg","test","black_spot","local_DataSet_Image_000088_Black_spot(668)"
"1111111111100001110000001000000010001000100100001000000111000001","test\black_spot\local_DataSet_Image_000089_Black_spot(925).jpg","test","black_spot","local_DataSet_Image_000089_Black_spot(925)"
"0000011110000101011000001000000000000100111001000010000001010100","test\black_spot\local_DataSet_Image_000090_Black_spot(193).jpg","test","black_spot","local_DataSet_Image_000090_Black_spot(193)"
"0001110000111110011111111111111111111110101110000000000100000000","test\black_spot\local_DataSet_Image_000091_Black_spot(302).jpg","test","black_spot","local_DataSet_Image_000091_Black_spot(302)"
"1111111111110111100000011000000000000100000001001000000011000001","test\black_spot\local_DataSet_Image_000092_Black_spot(864).jpg","test","black_spot","local_DataSet_Image_000092_Black_spot(864)"
"0111101111000001110000001001000010110000101100001100000111100011","test\black_spot\local_DataSet_Image_000093_Black_spot(700).jpg","test","black_spot","local_DataSet_Image_000093_Black_spot(700)"
"1111111111100011110000011000000010010000100000001000000011000001","test\black_spot\local_DataSet_Image_000094_Black_spot(1232).jpg","test","black_spot","local_DataSet_Image_000094_Black_spot(1232)"
"0011100001000001000011010000111010011110110011101100111100100110","test\black_spot\local_DataSet_Image_000095_Black_spot(472).jpg","test","black_spot","local_DataSet_Image_000095_Black_spot(472)"
"0011100001100001010100010001100010111000111000001100000001100001","test\black_spot\local_DataSet_Image_000096_Black_spot(676).jpg","test","black_spot","local_DataSet_Image_000096_Black_spot(676)"
"1111111111000001100000101000010000000000000000000000000110000011","test\black_spot\local_DataSet_Image_000097_Black_spot(886).jpg","test","black_spot","local_DataSet_Image_000097_Black_spot(886)"
"1111111111100011110000011000000010000100100000001000000010000001","test\black_spot\local_DataSet_Image_000098_Black_spot(820).jpg","test","black_spot","local_DataSet_Image_000098_Black_spot(820)"
"1111111111100001110000001000000010000100100000001000000011000001","test\black_spot\local_DataSet_Image_000099_Black_spot(804).jpg","test","black_spot","local_DataSet_Image_000099_Black_spot(804)"
"1111001111000001110000011000000010001000100010001000000111000111","test\black_spot\local_DataSet_Image_000100_Black_spot(930).jpg","test","black_spot","local_DataSet_Image_000100_Black_spot(930)"
"1111111111000001100000001000000010110000100000001000000011100011","test\black_spot\local_DataSet_Image_000101_Black_spot(1056).jpg","test","black_spot","local_DataSet_Image_000101_Black_spot(1056)"
"1111111111100000100000001000000010011000100000001100000111111111","test\black_spot\local_DataSet_Image_000102_Black_spot(966).jpg","test","black_spot","local_DataSet_Image_000102_Black_spot(966)"
"0000111001100011110110011010100000011000000010100000010100000011","test\black_spot\local_DataSet_Image_000103_Black_spot(323).jpg","test","black_spot","local_DataSet_Image_000103_Black_spot(323)"
"0111100001100001010000000001000010011000100110001101100011100001","test\black_spot\local_DataSet_Image_000104_Black_spot(599).jpg","test","black_spot","local_DataSet_Image_000104_Black_spot(599)"
"0000111001111111111111111011111010001110000010000000000001000001","test\black_spot\local_DataSet_Image_000105_Black_spot(319).jpg","test","black_spot","local_DataSet_Image_000105_Black_spot(319)"
"0000111111000001100001001001101000001110000000010000000101011111","test\black_spot\local_DataSet_Image_000106_Black_spot(514).jpg","test","black_spot","local_DataSet_Image_000106_Black_spot(514)"
"0000111111100011110000011000110000001110000010001000000111000001","test\black_spot\local_DataSet_Image_000107_Black_spot(756).jpg","test","black_spot","local_DataSet_Image_000107_Black_spot(756)"
"1111111111100011100000001000000010011000100000001000000011000000","test\black_spot\local_DataSet_Image_000108_Black_spot(1233).jpg","test","black_spot","local_DataSet_Image_000108_Black_spot(1233)"
"1111111111100011110000011100000010011000100000001000000011000000","test\black_spot\local_DataSet_Image_000109_Black_spot(714).jpg","test","black_spot","local_DataSet_Image_000109_Black_spot(714)"
"1111111111000011100000011000000000001100000000001000000011000001","test\black_spot\local_DataSet_Image_000110_Black_spot(869).jpg","test","black_spot","local_DataSet_Image_000110_Black_spot(869)"
"1111111111000001100000000000000000000110100001101000011111000111","test\black_spot\local_DataSet_Image_000111_Black_spot(1066).jpg","test","black_spot","local_DataSet_Image_000111_Black_spot(1066)"
"0111000001000001000000000000110010001110101111111001111111111111","test\black_spot\local_DataSet_Image_000112_Black_spot(488).jpg","test","black_spot","local_DataSet_Image_000112_Black_spot(488)"
"0001110000001110000111111001111110011111101111110101111100111110","test\black_spot\local_DataSet_Image_000113_Black_spot(249).jpg","test","black_spot","local_DataSet_Image_000113_Black_spot(249)"
"0001110000111110010111111101111110001110100010000000000100000010","test\black_spot\local_DataSet_Image_000114_Black_spot(446).jpg","test","black_spot","local_DataSet_Image_000114_Black_spot(446)"
"1111111111000011100000010001010000000110000001000000000001100001","test\black_spot\local_DataSet_Image_000115_Black_spot(778).jpg","test","black_spot","local_DataSet_Image_000115_Black_spot(778)"
"1111111111100011110000001000100010000000100000001000000011000001","test\black_spot\local_DataSet_Image_000116_Black_spot(219).jpg","test","black_spot","local_DataSet_Image_000116_Black_spot(219)"
"0001111000000000110000001011111011011110111111100111111100101110","test\black_spot\local_DataSet_Image_000117_Black_spot(631).jpg","test","black_spot","local_DataSet_Image_000117_Black_spot(631)"
"1111111111100011110000011000000010011000100000001000000011000000","test\black_spot\local_DataSet_Image_000118_Black_spot(830).jpg","test","black_spot","local_DataSet_Image_000118_Black_spot(830)"
"0001110000110010010100001101100011111100111111000111110000100010","test\black_spot\local_DataSet_Image_000119_Black_spot(548).jpg","test","black_spot","local_DataSet_Image_000119_Black_spot(548)"
"1111111110000001100000000000000000000100100000001100000111100011","test\black_spot\local_DataSet_Image_000120_Black_spot(1161).jpg","test","black_spot","local_DataSet_Image_000120_Black_spot(1161)"
"0001111000110010111110001011100011110000111111000111100000000000","test\black_spot\local_DataSet_Image_000121_Black_spot(1123).jpg","test","black_spot","local_DataSet_Image_000121_Black_spot(1123)"
"0011110000000000000001011011111010110110100111101111111100111110","test\black_spot\local_DataSet_Image_000122_Black_spot(463).jpg","test","black_spot","local_DataSet_Image_000122_Black_spot(463)"
"1111111110000001100000000000000010000000100000001000000111000011","test\black_spot\local_DataSet_Image_000123_Black_spot(1081).jpg","test","black_spot","local_DataSet_Image_000123_Black_spot(1081)"
"1111111111100011100000011000000110000000100000001000000111100011","test\black_spot\local_DataSet_Image_000124_Black_spot(131).jpg","test","black_spot","local_DataSet_Image_000124_Black_spot(131)"
"0011100001111111000000010000000010000110100011111000011101000001","test\black_spot\local_DataSet_Image_000125_Black_spot(277).jpg","test","black_spot","local_DataSet_Image_000125_Black_spot(277)"
"0001110000111110011111111011111010111100100010000000000100000110","test\black_spot\local_DataSet_Image_000126_Black_spot(413).jpg","test","black_spot","local_DataSet_Image_000126_Black_spot(413)"
"1111111111000011100000011000000010000000100000001100000011100001","test\black_spot\local_DataSet_Image_000127_Black_spot(723).jpg","test","black_spot","local_DataSet_Image_000127_Black_spot(723)"
"0111100001100011010000010000010110001111100001001100000111100001","test\black_spot\local_DataSet_Image_000128_Black_spot(287).jpg","test","black_spot","local_DataSet_Image_000128_Black_spot(287)"
"1111111111000011100000010000000000001100000000001000000011000001","test\black_spot\local_DataSet_Image_000129_Black_spot(894).jpg","test","black_spot","local_DataSet_Image_000129_Black_spot(894)"
"1111111111000011110000011000000010010000110000001100000011100001","test\black_spot\local_DataSet_Image_000130_Black_spot(204).jpg","test","black_spot","local_DataSet_Image_000130_Black_spot(204)"
"1111111111100011100000001000000010010000100000001000000011000011","test\black_spot\local_DataSet_Image_000131_Black_spot(1174).jpg","test","black_spot","local_DataSet_Image_000131_Black_spot(1174)"
"1111111111000011100000001001000010010000100000001100000011100001","test\black_spot\local_DataSet_Image_000132_Black_spot(842).jpg","test","black_spot","local_DataSet_Image_000132_Black_spot(842)"
"1111111111000000100000001000000010000000100000001100000011100011","test\black_spot\local_DataSet_Image_000133_Black_spot(1000).jpg","test","black_spot","local_DataSet_Image_000133_Black_spot(1000)"
"0001110000111110011110111011111110111111100110110000110100000010","test\black_spot\local_DataSet_Image_000134_Black_spot(352).jpg","test","black_spot","local_DataSet_Image_000134_Black_spot(352)"
"0000010000011110001111100011111101111111011111110011111100111110","test\black_spot\local_DataSet_Image_000135_Black_spot(250).jpg","test","black_spot","local_DataSet_Image_000135_Black_spot(250)"
"1111111111000001100000001000000010010000100000001100000011100011","test\black_spot\local_DataSet_Image_000136_Black_spot(900).jpg","test","black_spot","local_DataSet_Image_000136_Black_spot(900)"
"1111111111000001100000001000000010100000100000001000000011100001","test\black_spot\local_DataSet_Image_000137_Black_spot(950).jpg","test","black_spot","local_DataSet_Image_000137_Black_spot(950)"
"1111111111000000100000001000000010011000100100001000000011000001","test\black_spot\local_DataSet_Image_000138_Black_spot(1008).jpg","test","black_spot","local_DataSet_Image_000138_Black_spot(1008)"
"0000110000000010010011010001110100111111101111110111111100111110","test\black_spot\local_DataSet_Image_000139_Black_spot(459).jpg","test","black_spot","local_DataSet_Image_000139_Black_spot(459)"
"0111100001100011000000010000011010001110100001101000000011100001","test\black_spot\local_DataSet_Image_000140_Black_spot(298).jpg","test","black_spot","local_DataSet_Image_000140_Black_spot(298)"
"0001111000111110110000011000110010011110100111100000000000000000","test\black_spot\local_DataSet_Image_000141_Black_spot(337).jpg","test","black_spot","local_DataSet_Image_000141_Black_spot(337)"
"1111111111000011100000011000000010011000100000001000000011000001","test\black_spot\local_DataSet_Image_000142_Black_spot(568).jpg","test","black_spot","local_DataSet_Image_000142_Black_spot(568)"
"1111111111000011100000001000000010010000100000001100000011110001","test\black_spot\local_DataSet_Image_000143_Black_spot(1042).jpg","test","black_spot","local_DataSet_Image_000143_Black_spot(1042)"
"0001111000000000100000011000100010011110111111100101111100110010","test\black_spot\local_DataSet_Image_000144_Black_spot(437).jpg","test","black_spot","local_DataSet_Image_000144_Black_spot(437)"
"1111111111100011110000011000000010000000000000000000000110000011","test\black_spot\local_DataSet_Image_000145_Black_spot(877).jpg","test","black_spot","local_DataSet_Image_000145_Black_spot(877)"
"0001110000111110011111111101111010011110100110100000110000000000","test\black_spot\local_DataSet_Image_000146_Black_spot(343).jpg","test","black_spot","local_DataSet_Image_000146_Black_spot(343)"
"0011110000000000000000001000111010001111101111111111111100111110","test\black_spot\local_DataSet_Image_000147_Black_spot(470).jpg","test","black_spot","local_DataSet_Image_000147_Black_spot(470)"
"1111111111000001100000011000000010000100100011001100000111100011","test\black_spot\local_DataSet_Image_000148_Black_spot(1134).jpg","test","black_spot","local_DataSet_Image_000148_Black_spot(1134)"
"1111111111100011100000011000000100000100100000001000000011100011","test\black_spot\local_DataSet_Image_000149_Black_spot(831).jpg","test","black_spot","local_DataSet_Image_000149_Black_spot(831)"
"0000111001100111111110011001100010001000000000000000000001000001","test\black_spot\local_DataSet_Image_000150_Black_spot(425).jpg","test","black_spot","local_DataSet_Image_000150_Black_spot(425)"
"1111111111100011110000011000000000000110000010001000000110000001","test\black_spot\local_DataSet_Image_000151_Black_spot(822).jpg","test","black_spot","local_DataSet_Image_000151_Black_spot(822)"
"1111011110000001100000001000000010000010100011101100000111100111","test\black_spot\local_DataSet_Image_000152_Black_spot(1061).jpg","test","black_spot","local_DataSet_Image_000152_Black_spot(1061)"
"0111111111100011110000011000010010000100000000001000000011000001","test\black_spot\local_DataSet_Image_000153_Black_spot(750).jpg","test","black_spot","local_DataSet_Image_000153_Black_spot(750)"
"1111111111000001100000001000000010010000100100001000000011000001","test\black_spot\local_DataSet_Image_000154_Black_spot(1051).jpg","test","black_spot","local_DataSet_Image_000154_Black_spot(1051)"
"1111111111000001100000000000000000001100000000001000000111000011","test\black_spot\local_DataSet_Image_000155_Black_spot(789).jpg","test","black_spot","local_DataSet_Image_000155_Black_spot(789)"
"1111111111000011100000011000000010000000100000001100000011100001","test\black_spot\local_DataSet_Image_000156_Black_spot(1214).jpg","test","black_spot","local_DataSet_Image_000156_Black_spot(1214)"
"0011100000111110011111011111110011011100111110001100000000100000","test\black_spot\local_DataSet_Image_000157_Black_spot(580).jpg","test","black_spot","local_DataSet_Image_000157_Black_spot(580)"
"0111100001011111001111110001111110000110100000001000000001000001","test\black_spot\local_DataSet_Image_000158_Black_spot(383).jpg","test","black_spot","local_DataSet_Image_000158_Black_spot(383)"
"0011110000100000010000001000101010011110110111101100011100111110","test\black_spot\local_DataSet_Image_000159_Black_spot(464).jpg","test","black_spot","local_DataSet_Image_000159_Black_spot(464)"
"0001110000111110011101011011111010111111000111110001111100000010","test\black_spot\local_DataSet_Image_000160_Black_spot(550).jpg","test","black_spot","local_DataSet_Image_000160_Black_spot(550)"
